TIME,X,Y,Z
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
8/17/2023 13:02,0,0,0
